Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,HasChild,Children,Age,TotalAmtSpent,Relation
PGrad,Single,69759.0,38,452,20,514,13,30,0,no child,0,55,1029,96.13333333333334
Grad,Married,72099.0,18,546,91,410,119,0,22,no child,0,47,1188,108.33333333333333
PGrad,Single,60000.0,57,1048,0,217,0,0,12,child,1,45,1277,106.46666666666667
Grad,Single,38643.0,45,22,2,14,0,1,10,child,2,43,49,95.06666666666666
Grad,Married,50737.0,61,78,0,11,0,0,10,child,1,66,99,101.8
PGrad,Married,68462.0,6,561,64,785,84,128,48,no child,0,52,1670,106.8
PGrad,Married,65073.0,65,629,17,177,69,0,8,no child,0,78,900,98.43333333333334
PGrad,Married,46681.0,52,269,15,69,15,19,38,child,2,73,425,96.8
Grad,Married,78618.0,87,736,163,818,212,163,61,no child,0,64,2153,109.3
PGrad,Single,62187.0,38,512,0,83,0,0,41,child,1,52,636,91.3
Grad,Married,28442.0,53,19,3,10,11,8,6,child,2,43,57,92.16666666666667
PGrad,Married,37717.0,31,9,0,6,4,1,5,child,1,43,25,107.43333333333334
Grad,Married,51479.0,67,247,8,160,6,8,65,child,2,54,494,106.26666666666667
Grad,Single,54803.0,65,404,0,92,28,27,142,child,1,52,693,110.56666666666666
Grad,Married,79530.0,64,333,0,815,129,42,29,no child,0,61,1348,101.6
Grad,Single,31615.0,82,2,3,20,6,11,9,child,1,45,51,103.66666666666667
Grad,Married,72025.0,27,833,33,549,151,133,233,no child,0,59,1932,107.63333333333334
PGrad,Single,52614.0,63,789,0,142,12,9,38,child,1,46,990,107.16666666666667
UGrad,Married,35684.0,66,10,4,7,0,6,3,child,1,37,30,90.26666666666667
Grad,Married,48178.0,69,159,4,45,6,2,38,child,2,46,254,108.3
PGrad,Single,29548.0,52,7,1,6,3,1,11,child,1,51,29,98.13333333333334
Grad,Single,63810.0,45,977,12,253,16,12,101,child,1,55,1371,107.83333333333333
PGrad,Single,38578.0,2,38,4,22,3,3,3,child,2,49,73,100.4
PGrad,Single,46098.0,86,57,0,27,0,0,36,child,2,46,120,110.66666666666667
Grad,Single,22585.0,23,3,9,15,13,2,39,no child,0,51,81,103.6
Grad,Single,30279.0,13,10,4,14,4,4,1,child,1,32,37,106.2
PGrad,Married,66426.0,14,1043,24,97,32,24,157,child,1,60,1377,97.0
Grad,Single,30822.0,92,3,9,13,2,12,12,child,1,52,51,100.66666666666667
PGrad,Married,33581.0,38,11,0,5,0,0,1,child,2,52,17,105.9
Grad,Married,19986.0,74,3,6,5,0,2,6,child,1,36,22,95.56666666666666
Grad,Single,27421.0,14,43,12,96,78,40,55,no child,0,67,324,106.8
UGrad,Married,35688.0,94,73,3,90,12,1,32,child,3,48,211,110.53333333333333
PGrad,Single,36143.0,33,12,0,1,0,0,6,child,1,40,19,91.03333333333333
Grad,Single,10245.0,32,4,7,7,6,4,13,child,1,50,41,101.66666666666667
PGrad,Married,43795.0,11,314,11,53,4,3,107,child,1,53,492,96.53333333333333
Grad,Married,63381.0,78,571,50,142,33,50,159,child,1,61,1005,109.06666666666666
Grad,Married,38823.0,56,70,0,11,2,8,23,child,1,72,114,110.26666666666667
PGrad,Single,83664.0,57,866,21,151,28,21,86,child,2,53,1173,101.9
Grad,Married,90300.0,7,594,134,786,33,134,57,no child,0,42,1738,93.9
PGrad,Married,62499.0,0,140,4,61,0,13,4,child,1,42,222,94.73333333333333
Grad,Single,74293.0,66,375,152,335,93,91,81,no child,0,28,1127,89.86666666666666
PGrad,Married,51012.0,86,102,9,63,2,9,24,no child,0,75,209,102.56666666666666
PGrad,Married,70777.0,80,554,35,113,0,7,78,child,1,53,787,92.13333333333334
PGrad,Married,68682.0,56,919,0,505,99,30,45,no child,0,30,1598,96.86666666666666
Grad,Married,43824.0,18,96,1,42,12,3,32,child,2,50,186,109.73333333333333
Grad,Married,15345.0,51,5,2,16,3,2,19,child,1,37,47,110.23333333333333
Grad,Single,23442.0,71,2,0,6,8,6,5,child,1,34,27,106.4
UGrad,Married,14515.0,71,6,4,9,6,36,35,child,1,41,96,107.9
UGrad,Single,31395.0,80,23,1,25,0,8,7,child,2,65,64,103.43333333333334
Grad,Married,75276.0,2,610,105,125,137,42,21,no child,0,56,1040,109.33333333333333
Grad,Single,42373.0,83,67,5,61,3,8,19,child,2,47,163,98.6
Grad,Married,30507.0,29,65,36,74,38,20,110,no child,0,61,343,103.83333333333333
PGrad,Single,55521.0,11,416,0,26,0,0,4,child,3,66,446,96.33333333333333
Grad,Married,48006.0,55,23,0,11,3,2,2,child,2,56,41,88.66666666666667
PGrad,Single,27213.0,19,19,3,26,10,9,3,child,1,49,70,110.26666666666667
PGrad,Single,65808.0,1,155,7,80,13,7,10,child,2,50,272,89.0
PGrad,Married,30351.0,19,14,0,24,3,3,2,child,1,47,46,100.93333333333334
Grad,Married,50437.0,28,370,9,92,6,9,4,child,2,58,490,108.66666666666667
UGrad,Single,23616.0,76,4,22,11,3,7,32,child,1,39,79,107.63333333333334
Grad,Married,53858.0,50,407,53,221,58,150,26,child,1,45,915,107.9
PGrad,Married,66465.0,1,1200,0,204,38,29,14,child,1,66,1485,103.2
Grad,Single,46923.0,90,85,44,54,102,78,6,child,1,34,369,110.53333333333333
Grad,Married,75072.0,83,583,34,309,0,22,125,child,1,59,1073,105.4
PGrad,Married,75865.0,73,483,0,591,156,0,12,no child,0,78,1242,91.0
UGrad,Married,19789.0,24,2,5,9,28,6,28,child,1,46,78,95.36666666666666
Grad,Married,80134.0,11,966,26,282,52,26,26,no child,0,27,1378,92.5
Grad,Single,91065.0,33,822,114,108,179,137,114,no child,0,40,1474,104.4
PGrad,Married,49505.0,4,604,0,100,19,0,28,child,2,50,751,104.03333333333333
PGrad,Married,37401.0,14,19,3,19,3,1,3,child,1,48,48,89.8
Grad,Married,30096.0,30,5,3,11,12,5,9,child,1,38,45,89.26666666666667
PGrad,Married,18492.0,75,2,2,2,2,1,1,child,1,39,10,88.8
PGrad,Married,82584.0,26,1076,68,103,29,91,68,no child,0,47,1435,101.0
PGrad,Married,93027.0,77,1285,42,716,55,0,21,no child,0,80,2119,102.73333333333333
Grad,Married,48686.0,8,10,0,7,2,0,1,child,3,68,20,94.9
Grad,Married,92910.0,42,551,137,792,179,103,33,no child,0,35,1795,90.2
Grad,Married,75433.0,28,800,0,297,0,34,57,child,1,32,1188,90.83333333333333
UGrad,Married,10404.0,52,2,2,11,10,6,12,child,1,32,43,89.86666666666666
Grad,Married,61314.0,1,378,0,189,97,172,172,child,1,53,1008,102.33333333333333
PGrad,Single,84865.0,1,1248,16,349,43,16,16,no child,0,60,1688,101.86666666666666
Grad,Married,42387.0,42,235,0,235,19,4,191,child,1,32,684,108.26666666666667
UGrad,Married,67309.0,76,515,47,181,149,95,95,child,2,54,1082,105.4
Grad,Married,75236.0,27,438,66,400,12,38,114,child,1,57,1068,95.2
Grad,Single,30015.0,28,25,0,22,2,3,5,child,1,51,57,92.9
PGrad,Married,50943.0,49,31,0,7,2,0,6,child,1,65,46,100.43333333333334
Grad,Single,67272.0,12,357,35,271,28,28,14,child,1,55,733,94.33333333333333
PGrad,Single,51529.0,14,400,4,35,6,0,22,child,1,72,467,97.83333333333333
PGrad,Married,32011.0,89,99,0,15,2,1,5,child,1,50,122,98.36666666666666
UGrad,Married,7500.0,96,1,11,5,4,6,9,child,1,35,36,104.9
Grad,Married,28691.0,56,5,4,13,8,0,4,child,1,32,34,100.0
PGrad,Married,56223.0,72,77,28,31,16,0,4,child,1,73,156,94.36666666666666
Grad,Married,18100.0,14,3,1,2,4,3,1,no child,0,75,14,98.9
Grad,Single,30279.0,13,10,4,14,4,4,1,child,1,32,37,106.2
UGrad,Married,20130.0,99,0,6,3,7,6,12,no child,0,47,34,91.46666666666667
Grad,Single,23295.0,72,0,0,1,2,12,5,no child,0,62,20,99.7
PGrad,Single,42618.0,92,76,14,74,13,5,10,child,1,49,192,96.76666666666667
Grad,Single,81246.0,87,398,190,537,61,156,37,no child,0,57,1379,94.06666666666666
Grad,Married,24027.0,7,14,7,11,11,0,5,child,1,45,48,100.83333333333333
PGrad,Married,55707.0,91,208,7,82,30,66,35,child,1,68,428,94.3
Grad,Single,57959.0,71,430,16,322,43,24,33,child,1,66,868,102.1
Grad,Married,56796.0,24,656,38,161,62,47,37,child,1,52,1001,104.6
PGrad,Single,36230.0,17,14,2,30,8,2,3,child,1,50,59,96.5
UGrad,Married,70829.0,87,141,70,106,72,19,23,child,2,41,431,95.0
Grad,Married,65991.0,21,507,19,364,25,47,9,child,1,45,971,110.0
Grad,Married,38988.0,90,164,24,103,12,3,42,child,3,49,348,110.6
UGrad,Single,89572.0,44,606,24,974,197,194,64,no child,0,55,2059,109.73333333333333
PGrad,Married,42207.0,71,116,11,72,3,17,46,child,1,37,265,103.13333333333334
Grad,Married,50300.0,52,143,15,60,24,23,5,child,1,69,270,89.16666666666667
UGrad,Married,66664.0,78,398,96,447,220,96,32,no child,0,39,1289,109.4
Grad,Married,60597.0,2,522,0,257,32,16,66,child,1,57,893,93.96666666666667
Grad,Single,70165.0,60,161,0,253,199,191,122,no child,0,72,926,97.33333333333333
PGrad,Single,50520.0,25,112,0,6,2,1,14,child,1,63,135,93.06666666666666
Grad,Married,80124.0,47,483,84,398,205,84,241,no child,0,58,1495,88.1
Grad,Married,33183.0,46,7,5,39,17,15,37,child,1,46,120,92.16666666666667
PGrad,Single,66582.0,83,789,25,420,16,38,0,no child,0,52,1288,91.93333333333334
PGrad,Married,75261.0,17,1239,17,413,23,34,17,no child,0,66,1743,102.4
Grad,Single,31880.0,13,4,1,5,2,0,3,child,1,51,15,108.2
Grad,Married,53790.0,86,335,42,127,28,5,5,child,2,70,542,91.83333333333333
PGrad,Married,49269.0,92,639,8,166,11,8,58,child,1,50,890,110.76666666666667
Grad,Married,61456.0,47,563,76,384,84,192,89,child,1,46,1388,103.3
Grad,Married,37406.0,18,2,0,8,2,2,3,child,1,41,17,96.73333333333333
PGrad,Married,56937.0,81,746,8,125,11,8,8,child,1,40,906,111.13333333333334
Grad,Married,38415.0,91,22,1,13,4,0,4,child,2,43,44,106.1
Grad,Single,20518.0,58,4,1,6,4,1,9,child,1,33,25,89.4
Grad,Married,62503.0,40,478,0,193,110,75,117,child,1,65,973,104.53333333333333
PGrad,Single,41644.0,67,20,3,4,2,0,2,child,2,49,31,89.7
PGrad,Married,55842.0,19,451,0,39,0,4,24,child,1,44,518,89.23333333333333
PGrad,Married,62010.0,93,371,22,39,6,0,92,child,1,49,530,108.46666666666667
Grad,Married,41124.0,41,281,7,84,15,0,119,child,1,44,506,108.2
PGrad,Married,38961.0,60,19,7,19,0,1,24,child,1,48,70,94.03333333333333
PGrad,Single,37760.0,54,26,3,13,2,10,0,child,1,49,54,98.73333333333333
Grad,Single,32233.0,26,138,15,35,25,11,72,child,1,47,296,110.63333333333334
Grad,Married,43057.0,30,213,2,44,0,2,5,child,1,46,266,96.06666666666666
PGrad,Married,83151.0,93,407,28,100,120,74,18,no child,0,61,747,108.9
PGrad,Single,78825.0,35,483,74,114,169,37,18,no child,0,57,895,109.76666666666667
PGrad,Married,65104.0,4,738,0,232,13,20,50,child,1,45,1053,95.56666666666666
Grad,Married,60093.0,92,502,12,109,16,6,90,child,1,47,735,100.26666666666667
Grad,Married,14045.0,24,11,0,5,2,1,1,child,1,52,20,93.13333333333334
UGrad,Single,28457.0,96,24,1,108,29,29,14,no child,0,69,205,108.3
PGrad,Married,78952.0,11,1170,19,594,99,76,134,child,1,63,2092,109.43333333333334
Grad,Single,46310.0,99,185,2,88,15,5,14,child,1,45,309,107.1
Grad,Married,76005.0,72,983,20,389,240,50,40,no child,0,66,1722,104.4
PGrad,Single,58308.0,77,691,0,69,10,0,130,child,1,57,900,105.76666666666667
PGrad,Single,55614.0,85,504,13,131,8,0,26,no child,0,77,682,95.13333333333334
PGrad,Single,59432.0,88,317,25,265,25,19,12,child,1,59,663,102.73333333333333
Grad,Single,55563.0,22,29,1,9,2,0,2,child,1,43,43,90.83333333333333
PGrad,Married,78642.0,83,1396,0,322,46,35,17,child,1,50,1816,102.46666666666667
PGrad,Married,67911.0,63,529,0,356,63,28,0,child,1,72,976,89.26666666666667
Grad,Married,65275.0,9,388,14,218,91,14,21,no child,0,77,746,103.06666666666666
Grad,Married,27203.0,92,13,2,21,4,0,24,child,2,71,64,111.06666666666666
PGrad,Married,48330.0,2,28,0,4,0,0,0,child,1,60,32,95.53333333333333
UGrad,Married,24279.0,6,16,36,21,20,62,108,no child,0,31,263,106.23333333333333
PGrad,Married,64355.0,66,1047,0,140,67,38,153,child,1,36,1445,110.46666666666667
PGrad,Married,50943.0,49,31,0,7,2,0,6,child,1,65,46,100.43333333333334
Grad,Single,53653.0,29,815,10,239,28,10,108,no child,0,68,1210,107.96666666666667
Grad,Married,65665.0,77,225,162,387,106,36,29,child,1,45,945,94.96666666666667
Grad,Single,81217.0,77,493,70,324,146,40,84,no child,0,32,1157,99.5
Grad,Married,34935.0,71,34,4,66,3,10,20,no child,0,29,137,100.43333333333334
Grad,Single,61250.0,49,382,138,65,60,26,59,child,1,62,730,106.66666666666667
PGrad,Married,39665.0,97,127,1,56,0,1,31,child,1,40,216,101.33333333333333
Grad,Single,60152.0,6,325,83,300,86,58,91,child,1,42,943,103.26666666666667
Grad,Married,48920.0,93,238,17,68,8,10,6,child,2,57,347,96.4
PGrad,Married,89120.0,78,1168,92,408,72,129,55,no child,0,62,1924,91.46666666666667
PGrad,Married,44124.0,62,284,0,55,0,6,52,child,1,75,397,101.8
PGrad,Single,81169.0,47,1288,20,613,80,61,27,no child,0,46,2089,102.7
Grad,Married,36443.0,9,65,0,46,4,3,20,child,2,60,138,105.03333333333333
Grad,Single,26095.0,77,11,7,9,3,1,11,child,1,31,42,100.13333333333334
Grad,Married,71367.0,24,227,23,389,42,21,75,no child,0,62,777,98.33333333333333
PGrad,Married,80184.0,19,1035,134,670,25,38,0,no child,0,77,1902,92.0
Grad,Single,30630.0,67,27,1,12,2,0,10,child,2,56,52,93.1
PGrad,Single,73454.0,95,982,73,351,56,14,175,no child,0,34,1651,92.0
Grad,Married,42691.0,48,179,2,64,38,17,58,no child,0,30,358,98.56666666666666
Grad,Married,70503.0,73,1379,33,216,0,33,66,no child,0,68,1727,109.23333333333333
Grad,Married,25545.0,35,32,1,64,16,12,85,child,1,34,210,109.96666666666667
Grad,Married,32880.0,76,8,4,15,7,6,2,child,1,35,42,107.06666666666666
PGrad,Married,77863.0,20,881,38,319,16,25,12,no child,0,63,1291,95.13333333333334
PGrad,Married,50353.0,72,141,15,153,67,31,35,no child,0,44,442,88.7
Grad,Single,61839.0,20,1000,155,379,224,17,120,no child,0,57,1895,110.86666666666666
PGrad,Married,49154.0,69,206,10,67,30,27,71,child,2,61,411,95.93333333333334
UGrad,Single,47682.0,80,162,61,83,97,57,61,child,1,46,521,104.63333333333334
Grad,Single,72679.0,65,619,54,260,127,54,54,child,1,52,1168,97.46666666666667
PGrad,Married,57954.0,52,456,4,24,0,0,9,child,2,44,493,88.36666666666666
Grad,Married,65316.0,65,112,6,92,3,9,38,child,2,59,260,102.36666666666666
Grad,Single,28567.0,57,11,3,22,2,2,6,child,1,39,46,100.56666666666666
PGrad,Married,47352.0,70,172,12,112,8,0,15,child,1,70,319,102.8
Grad,Married,44931.0,0,78,0,11,0,0,7,child,1,54,96,93.4
Grad,Single,76982.0,19,464,151,292,65,60,30,no child,0,54,1062,92.46666666666667
UGrad,Married,57247.0,50,99,4,32,37,54,6,child,1,69,232,98.83333333333333
PGrad,Single,22944.0,67,19,3,19,4,5,26,child,1,40,76,94.26666666666667
UGrad,Married,25315.0,46,1,9,8,11,3,22,child,1,44,54,95.8
Grad,Single,43638.0,37,63,10,83,7,19,19,child,1,52,201,111.06666666666666
PGrad,Single,42710.0,38,252,3,42,4,3,102,child,1,37,406,107.26666666666667
PGrad,Married,84169.0,9,1478,19,403,0,19,0,no child,0,39,1919,98.86666666666666
Grad,Married,54058.0,56,198,18,252,32,108,54,child,1,45,662,101.0
UGrad,Married,24683.0,98,8,4,10,6,7,6,child,1,31,41,91.76666666666667
Grad,Single,85620.0,68,416,46,925,60,107,46,no child,0,57,1600,93.76666666666667
Grad,Married,47850.0,72,42,7,43,20,12,10,child,1,41,134,94.93333333333334
Grad,Married,19514.0,47,14,3,21,2,1,28,child,2,53,69,93.13333333333334
PGrad,Married,27159.0,33,17,0,3,0,0,1,child,2,48,21,91.06666666666666
UGrad,Single,39548.0,87,15,4,10,3,4,18,child,2,58,54,91.0
Grad,Single,21474.0,0,6,16,24,11,0,34,child,1,32,91,90.73333333333333
PGrad,Single,60504.0,73,458,0,24,6,4,34,child,1,50,526,92.73333333333333
Grad,Married,22419.0,74,30,3,47,19,21,42,no child,0,58,162,102.56666666666666
PGrad,Married,81698.0,4,179,28,520,111,123,47,no child,0,72,1008,95.83333333333333
Grad,Married,43462.0,50,90,17,97,15,6,15,child,2,69,240,109.83333333333333
PGrad,Single,54880.0,57,308,85,137,102,45,118,child,1,43,795,104.16666666666667
Grad,Married,79908.0,30,557,129,761,29,185,111,no child,0,39,1772,103.0
UGrad,Married,15315.0,27,7,4,13,15,8,17,no child,0,51,64,99.0
Grad,Married,87771.0,61,1492,38,287,50,57,33,child,1,62,1957,101.43333333333334
Grad,Married,33039.0,4,30,8,12,8,8,12,child,1,43,78,97.76666666666667
Grad,Single,81741.0,75,249,153,940,58,134,38,no child,0,41,1572,100.6
PGrad,Married,71499.0,12,465,25,132,136,0,37,child,1,50,795,100.3
UGrad,Married,62466.0,13,129,129,259,168,121,83,child,1,51,889,93.5
PGrad,Single,48799.0,9,174,18,81,28,6,24,child,1,58,331,95.86666666666666
PGrad,Married,52157.0,48,189,2,29,3,2,40,child,1,71,265,88.73333333333333
Grad,Single,66565.0,80,747,10,161,65,40,42,child,1,59,1065,107.03333333333333
PGrad,Married,29298.0,60,6,0,2,2,0,1,child,2,70,11,97.83333333333333
Grad,Single,47691.0,43,14,0,3,0,0,4,child,1,42,21,99.96666666666667
Grad,Married,38200.0,19,12,0,4,0,0,1,child,2,51,17,106.96666666666667
Grad,Married,44989.0,26,98,0,106,49,10,106,child,1,47,369,109.83333333333333
PGrad,Married,38443.0,58,32,0,5,0,0,1,child,2,53,38,93.1
UGrad,Single,38593.0,42,51,12,49,17,24,24,child,1,43,177,97.63333333333334
PGrad,Married,64413.0,27,200,5,44,0,10,20,child,1,51,279,99.06666666666666
PGrad,Married,36959.0,56,25,6,25,6,0,0,child,1,40,62,97.0
PGrad,Married,61996.0,27,1050,12,144,0,0,24,child,1,44,1230,105.13333333333334
Grad,Married,51287.0,10,117,0,22,13,0,30,child,2,53,182,90.96666666666667
Grad,Married,13260.0,48,9,4,17,10,2,7,child,2,51,49,98.33333333333333
PGrad,Married,47472.0,39,56,0,11,0,0,8,child,2,55,75,97.53333333333333
PGrad,Married,54603.0,85,145,13,46,17,2,4,child,2,65,227,99.83333333333333
PGrad,Married,45207.0,64,203,0,10,0,0,2,child,2,47,215,107.86666666666666
Grad,Married,40689.0,69,270,3,27,39,6,99,child,1,70,444,103.6
UGrad,Married,47821.0,54,9,0,16,6,6,10,child,2,54,47,96.4
PGrad,Married,27450.0,57,37,12,23,8,11,52,no child,0,70,143,102.66666666666667
Grad,Married,39453.0,64,46,0,7,0,0,2,child,1,38,55,90.9
UGrad,Married,26850.0,10,31,1,13,7,2,9,child,2,50,63,90.4
Grad,Single,79800.0,65,1060,21,530,32,0,224,no child,0,66,1867,109.46666666666667
PGrad,Married,61794.0,74,264,47,188,54,47,11,child,1,60,611,97.6
Grad,Married,53863.0,4,399,4,30,6,4,30,child,1,66,473,89.43333333333334
Grad,Married,24221.0,94,8,9,9,2,5,22,no child,0,62,55,98.43333333333334
PGrad,Single,39684.0,41,19,0,35,6,4,17,child,1,37,81,108.83333333333333
PGrad,Married,92163.0,25,817,183,797,106,163,20,no child,0,46,2086,106.8
PGrad,Single,69882.0,94,292,127,635,132,127,165,no child,0,56,1478,95.7
Grad,Married,33178.0,9,12,6,2,11,2,16,child,1,44,49,93.0
PGrad,Married,59973.0,47,130,30,168,20,34,0,no child,0,49,382,97.7
PGrad,Married,17459.0,12,6,4,16,3,10,30,child,1,46,69,97.43333333333334
Grad,Single,23910.0,80,16,12,18,7,1,13,child,1,52,67,108.36666666666666
PGrad,Married,42169.0,20,19,0,9,0,0,2,child,2,52,30,96.43333333333334
UGrad,Married,26224.0,39,4,7,15,13,9,15,child,1,43,63,101.0
Grad,Married,31089.0,57,31,3,31,2,8,4,child,1,40,79,110.7
Grad,Single,30081.0,27,36,0,2,0,0,4,child,1,60,42,104.43333333333334
Grad,Married,62807.0,83,526,28,135,10,21,99,child,1,61,819,110.23333333333333
Grad,Single,72906.0,79,400,32,519,71,75,54,no child,0,66,1151,97.5
PGrad,Married,61467.0,69,410,16,114,0,5,49,child,2,73,594,106.9
PGrad,Married,49618.0,77,80,3,26,4,2,14,child,2,55,129,105.3
PGrad,Single,21888.0,15,88,10,46,2,3,64,child,1,35,213,106.23333333333333
Grad,Single,42429.0,99,55,0,6,2,0,4,child,1,48,67,92.6
Grad,Single,26150.0,61,5,1,13,3,5,1,child,3,65,28,103.83333333333333
UGrad,Married,30801.0,23,8,4,5,15,2,11,child,1,46,45,108.36666666666666
Grad,Married,81168.0,84,410,0,592,147,22,22,no child,0,56,1193,89.76666666666667
PGrad,Single,26877.0,74,101,13,76,20,18,40,no child,0,52,268,98.46666666666667
PGrad,Single,45006.0,90,162,25,53,16,0,10,no child,0,77,266,99.53333333333333
UGrad,Married,18978.0,41,2,8,1,4,7,15,child,1,48,37,106.83333333333333
Grad,Married,22574.0,28,25,0,8,2,0,2,child,3,54,37,96.13333333333334
PGrad,Single,48240.0,73,389,91,248,64,49,41,no child,0,52,882,107.9
Grad,Married,45837.0,88,215,13,87,17,17,24,child,2,47,373,99.26666666666667
PGrad,Single,35791.0,94,27,0,5,0,0,3,child,3,56,35,101.96666666666667
Grad,Single,54162.0,31,5,6,10,6,5,10,child,2,43,42,103.6
PGrad,Married,30522.0,6,179,8,83,19,11,26,child,1,61,326,110.7
PGrad,Married,54456.0,23,352,0,27,10,0,15,child,1,60,404,99.76666666666667
Grad,Single,31632.0,92,17,8,12,11,15,32,no child,0,50,95,99.66666666666667
Grad,Single,72298.0,52,625,35,169,58,17,35,no child,0,72,939,91.7
UGrad,Single,36975.0,50,10,6,11,0,4,2,child,1,43,33,94.1
UGrad,Married,72635.0,54,390,22,323,104,35,107,no child,0,66,981,101.03333333333333
Grad,Married,13624.0,93,10,2,15,2,1,6,child,1,45,36,105.5
Grad,Single,84196.0,56,215,63,507,231,31,190,child,1,46,1237,101.03333333333333
Grad,Married,70971.0,28,1001,17,572,93,125,17,child,1,61,1825,109.53333333333333
PGrad,Single,34487.0,94,19,18,33,24,1,8,child,2,44,103,110.03333333333333
Grad,Single,28769.0,76,41,5,129,10,3,3,child,1,44,191,106.6
PGrad,Married,69084.0,43,1181,107,199,39,30,30,child,1,51,1586,95.4
PGrad,Married,65488.0,46,603,45,207,36,18,54,no child,0,63,963,88.53333333333333
UGrad,Married,62466.0,13,129,129,259,168,121,83,child,1,51,889,93.5
UGrad,Single,32218.0,27,10,24,15,13,1,30,no child,0,61,93,92.46666666666667
Grad,Single,83917.0,12,514,22,732,42,198,79,no child,0,48,1587,102.56666666666666
Grad,Single,46102.0,3,14,0,1,0,0,1,child,3,59,16,91.7
Grad,Single,84574.0,72,387,20,713,38,54,163,no child,0,69,1375,101.0
Grad,Married,56181.0,6,121,103,69,8,44,48,child,1,59,393,105.9
PGrad,Single,63120.0,53,965,69,279,54,41,69,child,1,71,1477,109.3
Grad,Married,73691.0,58,707,21,250,85,43,73,child,1,50,1179,95.83333333333333
Grad,Married,63381.0,78,571,50,142,33,50,159,child,1,61,1005,109.06666666666666
PGrad,Married,76140.0,57,586,66,653,17,0,26,no child,0,73,1348,89.56666666666666
PGrad,Single,62859.0,37,1063,89,102,16,12,25,child,1,62,1307,106.2
Grad,Single,45906.0,20,305,3,27,4,3,144,child,1,57,486,101.93333333333334
PGrad,Married,77632.0,73,1200,105,758,0,42,147,no child,0,74,2252,103.86666666666666
PGrad,Married,46463.0,56,163,2,40,8,11,11,child,2,50,235,98.5
Grad,Married,105471.0,36,1009,181,104,202,21,207,no child,0,51,1724,105.46666666666667
PGrad,Single,55282.0,9,125,6,73,8,4,19,child,1,51,235,94.6
PGrad,Married,78710.0,42,721,0,152,119,50,50,child,1,44,1092,89.23333333333333
Grad,Married,66886.0,28,315,4,62,41,31,146,child,1,63,599,97.53333333333333
PGrad,Single,98777.0,23,1000,19,711,125,115,38,no child,0,61,2008,92.4
Grad,Married,29103.0,38,16,0,17,6,3,6,child,1,36,48,110.36666666666666
Grad,Married,67445.0,63,757,80,217,29,80,11,child,1,47,1174,110.86666666666666
PGrad,Married,50616.0,71,30,2,25,0,1,9,child,1,71,67,90.56666666666666
Grad,Single,49431.0,9,219,3,100,26,0,17,child,1,66,365,111.16666666666667
Grad,Married,61278.0,87,111,3,28,2,6,15,child,1,68,165,93.86666666666666
UGrad,Married,26490.0,92,45,47,52,21,20,25,no child,0,63,210,109.5
PGrad,Married,73059.0,36,410,112,420,0,82,71,child,1,74,1095,98.06666666666666
PGrad,Single,46734.0,86,100,1,39,6,1,76,child,3,55,223,96.36666666666666
Grad,Married,56253.0,83,509,0,65,7,11,5,child,1,58,597,106.96666666666667
Grad,Married,19986.0,74,3,6,5,0,2,6,child,1,36,22,95.56666666666666
Grad,Single,58330.0,87,445,53,213,104,98,151,child,1,46,1064,94.2
UGrad,Married,25965.0,29,2,2,11,41,7,11,no child,0,41,74,110.0
PGrad,Married,14661.0,88,4,1,11,6,2,2,no child,0,65,26,106.13333333333334
Grad,Married,18690.0,77,6,1,7,23,4,19,no child,0,62,60,106.26666666666667
PGrad,Married,45068.0,25,14,0,3,0,0,3,child,1,47,20,101.63333333333334
UGrad,Single,21063.0,34,1,10,11,19,3,15,child,1,34,59,97.23333333333333
PGrad,Married,29187.0,43,26,0,6,0,0,2,child,1,53,34,101.86666666666666
UGrad,Married,54690.0,76,111,16,37,7,9,18,child,2,50,198,95.8
PGrad,Married,59304.0,81,418,61,428,80,51,10,child,1,57,1048,99.16666666666667
PGrad,Single,59247.0,87,327,9,122,19,14,83,child,2,59,574,95.76666666666667
Grad,Single,66731.0,33,371,159,194,58,106,141,child,1,51,1029,109.83333333333333
Grad,Married,77353.0,38,275,59,107,69,101,59,child,1,41,670,94.5
PGrad,Single,52614.0,63,789,0,142,12,9,38,child,1,46,990,107.16666666666667
Grad,Married,26751.0,26,1,1,5,0,3,1,child,2,47,11,89.26666666666667
PGrad,Married,81300.0,17,1004,12,145,32,12,36,child,1,58,1241,108.23333333333333
Grad,Single,70337.0,75,187,81,149,25,43,91,no child,0,42,576,93.93333333333334
UGrad,Married,36145.0,13,56,4,76,17,1,18,child,1,36,172,100.6
PGrad,Single,65295.0,19,365,32,117,34,110,6,no child,0,41,664,94.26666666666667
Grad,Single,68118.0,51,595,23,123,10,23,154,child,1,58,928,96.46666666666667
Grad,Single,68743.0,81,1132,134,384,175,134,115,no child,0,54,2074,110.26666666666667
UGrad,Married,41039.0,32,34,11,137,179,61,45,no child,0,39,467,99.3
Grad,Married,38946.0,84,116,6,82,6,6,41,child,1,66,257,96.26666666666667
Grad,Married,65777.0,87,565,32,435,28,32,54,no child,0,54,1146,94.4
PGrad,Single,66476.0,99,372,18,126,47,48,78,child,1,45,689,103.96666666666667
PGrad,Single,86857.0,96,899,102,838,133,102,40,no child,0,49,2114,109.83333333333333
